"COD_CLIENTE";"CAT_EDAD";"ESTADO_CIVIL";"NIVEL_ESTUDIOS";"RANGO_INGRESOS";"CAMP_DEPOSITOS";"SEXO"
"CLI0045096512";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0006294629";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0040413067";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0018856775";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0047928081";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0072691196";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0009631426";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"MUJER"
"DR_00042013798";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0020694498";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"R_10076872461";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0077392741";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0000498338";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0080246357";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0047017931";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0045608886";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0000365156";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0002662082";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"MUJER"
"CLI0042059065";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0021077200";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0010173821";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0016137137";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0043568831";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0047380821";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0016782564";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0026704696";"3_30_40";"SOLTERO";"UNIVERSIDAD";"<600";1;"MUJER"
"R_10103303147";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0025547929";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042135986";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0042288916";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0046760502";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0080209346";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0010169078";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0020119246";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"MUJER"
"CLI0043224595";"2_MINUS30";"CASADO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0080350221";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0041532358";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0008438913";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0016510358";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0041389677";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0041426226";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0016806634";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0015999692";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0043772090";"3_30_40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0032933557";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0043017287";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0047023001";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";0;"HOMBRE"
"CLI0010265430";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0029443254";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0006731502";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0040988418";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0018829379";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0044565450";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0072965333";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0016726167";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0006666992";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0070065357";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0042386662";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0031620961";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0009635785";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"R_10012649164";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0023965127";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0015368553";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042480701";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0044877931";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0010814491";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0070869815";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0044750754";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0000371574";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0070571785";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0040126409";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0032775725";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"R_10440602962";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0047321872";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0048595871";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"MUJER"
"CLI0080068798";"3_30_40";"CASADO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0032819127";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"MUJER"
"CLI0009969149";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0044415246";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0007684128";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0042412610";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0043599326";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0044840897";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0010279873";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0009671071";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0028603806";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0045456556";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0044093708";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0047554904";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0042308873";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0045566719";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0073464681";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"HOMBRE"
"CLI0009980355";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"HOMBRE"
"CLI0041822159";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0044200673";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0010236677";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0017805741";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0018028392";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0025703174";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0000792170";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0044194784";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0007485483";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0040380215";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0070160682";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0003685917";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0070346361";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0022081796";"3_30_40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042655874";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0002823022";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0072170807";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0029669810";"3_30_40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0073117308";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0047261974";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"DR_00007973345";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0040928307";"3_30_40";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0044133640";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0032383803";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0010106157";"4_PLUS40";"SOLTERO";"SIN_ESTUDIOS";"[1000-2000>";1;"MUJER"
"CLI0043119393";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"R_10083778887";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0046296685";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0046891189";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0048190143";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0018089448";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0047362547";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0046756497";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0046166247";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0007133369";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0041228339";"3_30_40";"CASADO";"SIN_ESTUDIOS";"[600-1000>";1;"MUJER"
"CLI0000021605";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0048570247";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0018064411";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0044378748";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0025841143";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0026728950";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0040356385";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0080171846";"3_30_40";"SOLTERO";"PRIMARIA";"<600";0;"HOMBRE"
"CLI0005375244";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042339064";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0043324927";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0008810021";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0044982180";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0018982330";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0073852974";"2_MINUS30";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0044851496";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0041212642";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0043887012";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0010044227";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0041265684";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0070880931";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0040130218";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0043350913";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0041579566";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0043317627";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0010322851";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0023009961";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0008111769";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0006737085";"4_PLUS40";"SOLTERO";"PRIMARIA";"[1000-2000>";1;"MUJER"
"CLI0045683811";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0005934864";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0028811460";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0006102302";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0032935972";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0047312942";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0025833612";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0013038879";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"MUJER"
"CLI0040978766";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0047153102";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0017902668";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0023248908";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0029534934";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0007577261";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0045316620";"2_MINUS30";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0018174544";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0048536759";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"<600";0;"HOMBRE"
"CLI0040010395";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0007501980";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0017850943";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0017921401";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"<600";1;"HOMBRE"
"CLI0015612595";"4_PLUS40";"CASADO";"PRIMARIA";"[1000-2000>";0;"MUJER"
"CLI0005582504";"4_PLUS40";"SOLTERO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0032987547";"3_30_40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0010452339";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0041232381";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0045466768";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0020030478";"4_PLUS40";"CASADO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"R_10296098031";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0046300200";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0009377600";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0008427579";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0040203757";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0040866154";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0008408456";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0047204440";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0008083256";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0000096235";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0080299929";"3_30_40";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"DR_00041339567";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";0;"MUJER"
"CLI0041880243";"2_MINUS30";"CASADO";"SECUNDARIA";"[1000-2000>";1;"MUJER"
"CLI0046822952";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0045999554";"2_MINUS30";"SOLTERO";"PRIMARIA";">=2000";1;"MUJER"
"CLI0048042006";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"HOMBRE"
"CLI0047142985";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0007464451";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0009260548";"4_PLUS40";"CASADO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0045202885";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0041521901";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0008147391";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"MUJER"
"CLI0043386195";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"HOMBRE"
"CLI0080249271";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0044850216";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0076071264";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"HOMBRE"
"CLI0000327688";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0072761150";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"MUJER"
"CLI0020682569";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0021443922";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"MUJER"
"CLI0019050201";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0007634324";"3_30_40";"CASADO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0018076831";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0023854516";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0044404697";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"MUJER"
"CLI0042113338";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0031187981";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[1000-2000>";0;"HOMBRE"
"CLI0007743598";"4_PLUS40";"CASADO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0040005453";"3_30_40";"SOLTERO";"PRIMARIA";">=2000";1;"MUJER"
"CLI0042089479";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0031037672";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0045555354";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0042519472";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0019032947";"4_PLUS40";"CASADO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0000967352";"4_PLUS40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0040996189";"3_30_40";"SOLTERO";"UNIVERSIDAD";"[600-1000>";0;"MUJER"
"CLI0070476883";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0002625074";"4_PLUS40";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0021529311";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";">=2000";1;"HOMBRE"
"CLI0070233505";"1_NULL";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";1;"HOMBRE"
"CLI0044461088";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"MUJER"
"CLI0045265716";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"MUJER"
"CLI0008433638";"4_PLUS40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0024889619";"3_30_40";"SOLTERO";"SIN_ESTUDIOS";"[600-1000>";0;"MUJER"
"CLI0047137646";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0016788447";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0071995193";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";0;"HOMBRE"
"CLI0008162540";"3_30_40";"CASADO";"SECUNDARIA";"[1000-2000>";1;"HOMBRE"
"CLI0028293088";"4_PLUS40";"SOLTERO";"SECUNDARIA";">=2000";1;"MUJER"
"CLI0043121290";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0040987763";"3_30_40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"HOMBRE"
"CLI0007427140";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"HOMBRE"
"CLI0029519445";"4_PLUS40";"CASADO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0001235558";"4_PLUS40";"SOLTERO";"UNIVERSIDAD";"[1000-2000>";1;"MUJER"
"CLI0000088709";"4_PLUS40";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0042410782";"2_MINUS30";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0070051815";"2_MINUS30";"SOLTERO";"PRIMARIA";"<600";0;"MUJER"
"CLI0047304350";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0042681065";"2_MINUS30";"SOLTERO";"PRIMARIA";"[600-1000>";1;"MUJER"
"CLI0043381197";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";1;"HOMBRE"
"CLI0010100646";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";0;"HOMBRE"
"CLI0041165798";"3_30_40";"SOLTERO";"SECUNDARIA";">=2000";1;"HOMBRE"
"CLI0046350894";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
"CLI0046374630";"2_MINUS30";"SOLTERO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0010379038";"3_30_40";"SOLTERO";"SECUNDARIA";"[600-1000>";1;"MUJER"
"CLI0020045917";"3_30_40";"CASADO";"UNIVERSIDAD";"[600-1000>";1;"HOMBRE"
"CLI0040353957";"3_30_40";"SOLTERO";"PRIMARIA";"[1000-2000>";1;"HOMBRE"
"CLI0046564830";"2_MINUS30";"SOLTERO";"SECUNDARIA";"<600";0;"HOMBRE"
